project_id,acronym,title,status,start_date,end_date,ec_contrib,total_cost,funding_scheme,topic,legal_basis,programme,start_year,climate_100,sust_scivoc
101039066,ForestFuture,Climate change impacts on trees reproduction and forecasts of forest recruitment change,SIGNED,2023-01-01,2027-12-31,1482050,1482050,HORIZON-ERC,ERC-2021-STG,HORIZON.1.1,European Research Council (ERC),2023,1,1
101039181,SEDAHEAD,"Dynamic river catchments in a Global Change context: assessing the present, preparing for the future",SIGNED,2022-11-01,2027-10-31,1498846,1498846,HORIZON-ERC,ERC-2021-STG,HORIZON.1.1,European Research Council (ERC),2022,0,1
101039272,DOPAMICS,Domestication and adaptation in Neotropical palms: a microevolutionary history,SIGNED,2022-09-01,2027-08-31,1560742,1560742,HORIZON-ERC,ERC-2021-STG,HORIZON.1.1,European Research Council (ERC),2022,1,0
101039348,PASSAGE,Provenance And tranSport PathwayS of mArine proxy-bearinG particlEs,SIGNED,2022-09-01,2029-02-28,1499766,1499766,HORIZON-ERC,ERC-2021-STG,HORIZON.1.1,European Research Council (ERC),2022,1,1
101039376,INFLUX,Emerging pests and pathogens as a novel lens for unravelling social-ecological cascades,SIGNED,2022-07-01,2027-06-30,1499705,1499705,HORIZON-ERC,ERC-2021-STG,HORIZON.1.1,European Research Council (ERC),2022,1,0
101039402,FLORA,Sustainable and healthy food solutions: system dynamics and trade-offs,SIGNED,2022-10-01,2027-09-30,1495428,1495428,HORIZON-ERC,ERC-2021-STG,HORIZON.1.1,European Research Council (ERC),2022,1,1
101039426,B-WEX,Balancing clean Water and Energy provision under changing climate and eXtremes,SIGNED,2023-01-01,2027-12-31,1500000,1500000,HORIZON-ERC,ERC-2021-STG,HORIZON.1.1,European Research Council (ERC),2023,1,0
101039429,IMAGINE adaptation,IMAGINE climate change adaptation in urban areas,SIGNED,2023-01-01,2027-12-31,1499775,1499775,HORIZON-ERC,ERC-2021-STG,HORIZON.1.1,European Research Council (ERC),2023,1,0
101039447,INTERMAPS,Mapping intersectionality: a conceptual and methodological model for the study of inequalities and discriminations,SIGNED,2022-09-01,2027-08-31,1226000,1226000,HORIZON-ERC,ERC-2021-STG,HORIZON.1.1,European Research Council (ERC),2022,1,0
101039455,SEGUE,Urban Economic SEGregation: integrating explanatory mechanisms across geographical scales to compare remediatory policies in silico,SIGNED,2022-09-01,2029-02-28,1495125,1495125,HORIZON-ERC,ERC-2021-STG,HORIZON.1.1,European Research Council (ERC),2022,1,0
