iso3,region
AUT,EU
BEL,EU
BGR,EU
CYP,EU
CZE,EU
DEU,EU
DNK,EU
ESP,EU
EST,EU
FIN,EU
FRA,EU
GRC,EU
HRV,EU
HUN,EU
IRL,EU
ITA,EU
LTU,EU
LUX,EU
LVA,EU
MLT,EU
NLD,EU
POL,EU
PRT,EU
ROU,EU
SVK,EU
SVN,EU
SWE,EU
CHE,Other Europe
GBR,Other Europe
ISL,Other Europe
NOR,Other Europe
TUR,Other Europe
UKR,Other Europe
BLR,Other Europe
RUS,Other Europe
CAN,North America
USA,North America
MEX,North America
ARG,Latin America
BRA,Latin America
CHL,Latin America
COL,Latin America
CRI,Latin America
PER,Latin America
BRN,East & SE Asia
CHN,East & SE Asia
HKG,East & SE Asia
IDN,East & SE Asia
JPN,East & SE Asia
KHM,East & SE Asia
KOR,East & SE Asia
LAO,East & SE Asia
MMR,East & SE Asia
MYS,East & SE Asia
PHL,East & SE Asia
SGP,East & SE Asia
THA,East & SE Asia
TWN,East & SE Asia
VNM,East & SE Asia
BGD,South Asia
IND,South Asia
PAK,South Asia
ARE,MENA
EGY,MENA
ISR,MENA
JOR,MENA
MAR,MENA
SAU,MENA
TUN,MENA
AGO,Sub-Saharan Africa
CIV,Sub-Saharan Africa
CMR,Sub-Saharan Africa
COD,Sub-Saharan Africa
NGA,Sub-Saharan Africa
SEN,Sub-Saharan Africa
STP,Sub-Saharan Africa
ZAF,Sub-Saharan Africa
AUS,Oceania
NZL,Oceania
KAZ,Central Asia
