cpc4,label
A01B,SOIL WORKING IN AGRICULTURE OR FORESTRY
A01C,PLANTING
A01D,HARVESTING
A01F,PROCESSING OF HARVESTED PRODUCE
A01G,HORTICULTURE
A01H,NEW PLANTS OR PROCESSES FOR OBTAINING THEM
A01J,MANUFACTURE OF DAIRY PRODUCTS
A01K,ANIMAL HUSBANDRY
A01L,SHOEING OF ANIMALS
A01M,"CATCHING, TRAPPING OR SCARING OF ANIMALS"
A01N,PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF
A21B,BAKERS' OVENS
A21C,MACHINES OR EQUIPMENT FOR MAKING OR PROCESSING DOUGHS
A21D,"TREATMENT, e.g. PRESERVATION, OF FLOUR OR DOUGH, e.g. BY ADDITION OF MATERIALS"
A22B,SLAUGHTERING
A22C,"PROCESSING MEAT, POULTRY, OR FISH"
A23B,"PRESERVING, e.g. BY CANNING, MEAT, FISH, EGGS, FRUIT, VEGETABLES, EDIBLE SEEDS"
A23C,"DAIRY PRODUCTS, e.g. MILK, BUTTER, CHEESE"
A23D,"EDIBLE OILS OR FATS, e.g. MARGARINES, SHORTENINGS, COOKING OILS"
A23F,COFFEE
A23G,COCOA
A23J,PROTEIN COMPOSITIONS FOR FOODSTUFFS
A23K,FODDER
A23L,"FOODS, FOODSTUFFS, OR NON-ALCOHOLIC BEVERAGES"
A23N,MACHINES OR APPARATUS FOR TREATING HARVESTED FRUIT
A23P,SHAPING OR WORKING OF FOODSTUFFS
A23V,"INDEXING SCHEME RELATING TO FOODS, FOODSTUFFS OR NON-ALCOHOLIC BEVERAGES"
A23Y,LACTIC OR PROPIONIC ACID BACTERIA USED IN FOODSTUFFS OR FOOD PREPARATION
A24B,MANUFACTURE OR PREPARATION OF TOBACCO FOR SMOKING OR CHEWING
A24C,MACHINES FOR MAKING CIGARS OR CIGARETTES
A24D,CIGARS
A24F,SMOKERS' REQUISITES
A41B,SHIRTS
A41C,CORSETS
A41D,OUTERWEAR
A41F,GARMENT FASTENINGS
A41G,ARTIFICIAL FLOWERS
A41H,APPLIANCES OR METHODS FOR MAKING CLOTHES
A42B,HATS
A42C,MANUFACTURING OR TRIMMING HATS OR OTHER HEAD COVERINGS
A43B,CHARACTERISTIC FEATURES OF FOOTWEAR
A43C,FASTENINGS OR ATTACHMENTS OF FOOTWEAR
A43D,"MACHINES, TOOLS, EQUIPMENT OR METHODS FOR MANUFACTURING OR REPAIRING FOOTWEAR"
A44B,"BUTTONS, PINS, BUCKLES, SLIDE FASTENERS, OR THE LIKE"
A44C,JEWELLERY
A44D,"BUTTONS, PINS, BUCKLES OR SLIDE FASTENERS  OR OTHER PERSONAL ADORNMENTS"
A45B,WALKING STICKS
A45C,PURSES
A45D,HAIRDRESSING OR SHAVING EQUIPMENT
A45F,TRAVELLING OR CAMP EQUIPMENT
A46B,BRUSHES
A46D,MANUFACTURE OF BRUSHES
A47B,TABLES
A47C,CHAIRS
A47D,FURNITURE SPECIALLY ADAPTED FOR CHILDREN
A47F,"SPECIAL FURNITURE, FITTINGS, OR ACCESSORIES FOR SHOPS"
A47G,HOUSEHOLD OR TABLE EQUIPMENT
A47H,FURNISHINGS FOR WINDOWS OR DOORS
A47J,KITCHEN EQUIPMENT
A47K,SANITARY EQUIPMENT NOT OTHERWISE PROVIDED FOR
A47L,DOMESTIC WASHING OR CLEANING
A61B,DIAGNOSIS
A61C,DENTISTRY
