cpc4,n_pat
A01B,43
A01C,84
A01D,57
A01F,15
A01G,483
A01H,64
A01J,1
A01K,255
A01M,57
A01N,230
A01P,34
A21B,4
A21C,2
A21D,18
A22B,3
A22C,16
A23B,40
A23C,24
A23D,9
A23F,7
A23G,6
A23J,39
A23K,201
A23L,265
A23N,14
A23P,17
A23V,184
A24B,14
A24C,4
A24D,15
A24F,49
A41B,5
A41C,3
A41D,11
A41F,1
A42B,2
A43B,19
A43D,4
A44B,2
A44C,17
A45B,12
A45C,8
A45D,6
A45F,8
A46B,16
A46D,1
A47B,22
A47C,16
A47D,1
A47F,16
A47G,29
A47H,1
A47J,70
A47K,37
A47L,127
A61B,162
A61C,37
A61D,5
A61F,51
A61G,15
A61H,7
A61J,17
A61K,1469
A61L,128
A61M,84
A61N,64
A61P,1251
A61Q,87
A62B,19
A62C,80
A62D,11
A63B,16
A63C,5
A63F,10
A63G,5
A63H,7
A63J,1
A63K,1
B01B,4
B01D,1965
B01F,188
B01J,1450
B01L,27
B02B,2
B02C,125
B03B,80
B03C,59
B03D,24
B04B,5
B04C,19
B05B,144
B05C,54
B05D,81
B06B,9
B07B,55
B07C,37
B08B,169
B09B,222
B09C,27
B21B,43
B21C,26
B21D,78
B21F,5
B21H,2
B21J,6
B21K,3
B22C,44
B22D,80
B22F,2003
B23B,36
B23C,29
B23D,39
B23F,19
B23G,4
B23H,15
B23K,718
B23P,210
B23Q,113
B24B,42
B24C,48
B24D,10
B25B,47
B25C,2
B25D,14
B25F,84
B25H,26
B25J,187
B26B,11
B26D,40
B26F,25
B27B,19
B27D,2
B27F,1
B27G,7
B27H,1
B27K,11
B27L,6
B27M,2
B27N,29
B28B,358
B28C,29
B28D,24
B29B,389
B29C,2159
B29D,291
B29K,551
B29L,684
B30B,69
B31B,27
B31D,13
B31F,4
B32B,606
B33Y,2158
B41F,12
B41J,22
B41M,16
B41N,1
B41P,4
B42B,1
B42C,3
B42D,8
B42P,1
B43K,2
B43L,1
B44B,4
B44C,14
B44D,1
B44F,3
B60B,79
B60C,127
B60D,11
B60F,9
B60G,29
B60H,267
B60J,28
B60K,1402
B60L,2955
B60M,82
B60N,43
B60P,90
B60Q,87
B60R,280
B60S,53
B60T,115
B60V,1
B60W,621
B60Y,869
B61B,47
B61C,101
B61D,162
B61F,33
B61G,7
B61H,13
B61J,2
B61K,7
B61L,55
B62B,21
B62D,374
B62H,31
B62J,72
B62K,79
B62L,3
B62M,97
B63B,422
B63C,11
B63G,29
B63H,173
B63J,81
B64B,8
B64C,811
B64D,962
B64F,199
B64G,43
B64U,163
B65B,106
B65C,5
B65D,377
B65F,48
B65G,224
B65H,77
B66B,55
B66C,191
B66D,21
B66F,81
B67B,1
B67C,10
B67D,28
B68G,2
B81B,12
B81C,16
B82B,1
B82Y,173
C01B,1018
C01C,144
C01D,57
C01F,109
C01G,251
C01P,432
C02F,886
C03B,195
C03C,196
C04B,956
C05B,32
C05C,81
C05D,60
C05F,217
C05G,114
C06B,6
C06D,1
C07B,108
C07C,937
C07D,737
C07F,256
C07G,41
C07H,80
C07J,21
C07K,648
C08B,90
C08C,24
C08F,262
C08G,284
C08H,70
C08J,501
C08K,395
C08L,538
C09B,43
C09C,49
C09D,266
C09F,3
C09G,4
C09H,1
C09J,90
C09K,579
C10B,181
C10C,12
C10F,3
C10G,421
C10H,1
C10J,128
C10K,120
C10L,448
C10M,64
C10N,50
C11B,75
C11C,62
C11D,46
C12C,22
C12F,13
C12G,13
C12H,6
C12J,3
C12M,259
C12N,990
C12P,450
C12Q,180
C12R,139
C12Y,297
C13B,2
C13K,47
C14C,1
C21B,106
C21C,126
C21D,196
C22B,388
C22C,477
C22F,80
C23C,340
C23D,2
C23F,20
C23G,14
C25B,599
C25C,51
C25D,74
C25F,23
C30B,37
C40B,7
D01D,41
D01F,79
D01G,19
D01H,8
D02G,7
D02J,1
D03D,28
D03J,1
D04B,15
D04C,5
D04H,50
D05B,1
D05D,2
D06B,7
D06C,3
D06F,57
D06G,1
D06H,6
D06J,1
D06L,1
D06M,32
D06N,10
D06P,7
D07B,11
D10B,45
D21B,60
D21C,146
D21D,33
D21F,20
D21G,7
D21H,104
D21J,14
E01B,20
E01C,61
