hs4,label,hs2
0101,Horses,01
0102,Cattle,01
0103,Swine,01
0104,Sheep,01
0105,Poultry,01
0106,Mammals,01
0201,Meat,02
0202,Meat,02
0203,Meat,02
0204,Meat,02
0206,"Offal, edible",02
0207,Meat and edible offal,02
0210,Meat,02
0301,Fish,03
0302,Fish,03
0303,Fish,03
0304,Fish fillets,03
0305,Fish,03
0306,Crustaceans,03
0307,Molluscs,03
0401,Dairy produce,04
0402,Dairy produce,04
0403,Dairy produce,04
0404,Dairy produce,04
0405,Dairy produce,04
0406,Dairy produce,04
0407,"Birds' eggs, in shell",04
0408,Eggs,04
0409,Honey,04
0410,Animal products,04
0504,Animal products,05
0505,Animal products,05
0511,Animal products,05
0601,"Plants, live",06
0602,"Plants, live",06
0603,"Flowers, cut",06
0604,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens",06
0701,Vegetables,07
0702,Vegetables,07
0703,"Vegetables, alliaceous",07
0704,"Vegetables, brassica",07
0705,Vegetables,07
0706,"Vegetables, root",07
0707,Vegetables,07
0708,"Vegetables, leguminous",07
0709,Vegetables,07
0710,Vegetables,07
0712,Vegetables,07
0713,"Vegetables, leguminous",07
0714,Vegetable roots and tubers,07
0801,"Nuts, edible",08
0802,"Nuts, edible",08
0803,"Fruit, edible",08
0804,"Fruit, edible",08
0805,"Fruit, edible",08
0806,"Fruit, edible",08
0807,"Fruit, edible",08
0808,"Fruit, edible",08
0809,"Fruit, edible",08
0810,"Fruit, edible",08
0811,"Fruit, edible",08
0813,"Fruit, edible",08
0901,Coffee,09
0902,"Tea, green",09
0904,Spices,09
0908,Spices,09
0909,Spices,09
0910,Spices,09
1001,Cereals,10
1003,Cereals,10
1004,Cereals,10
1005,Cereals,10
1006,Cereals,10
1007,Cereals,10
1008,Cereals,10
1101,Wheat or meslin flour,11
1102,Cereal flour,11
1103,Cereal groats and meal,11
1104,Cereal grains,11
1105,"Flour, meal and powder",11
1107,Malt,11
1108,Starch,11
1109,Wheat gluten,11
1201,Soya beans,12
1202,Ground-nuts,12
1204,Oil seeds,12
1205,Oil seeds,12
1206,Oil seeds,12
1207,Oil seeds,12
1208,Flours and meals,12
1209,Seed,12
1211,"Ginseng roots, of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered",12
1212,Seaweeds and other algae,12
1214,Lucerne (alfalfa) meal and pellets,12
1301,Gum Arabic,13
1302,Vegetable saps and extracts,13
1404,Vegetable products,14
1502,Tallow,15
1504,Oils of fish,15
1507,Vegetable oils,15
1509,Vegetable oils,15
1511,Vegetable oils,15
1512,Vegetable oils,15
1513,Vegetable oils,15
1514,Vegetable oils,15
1515,Vegetable oils,15
1516,Animal fats and oils and their fractions,15
1517,Margarine,15
1518,"Animal, vegetable or microbial fats, oils and their fractions",15
1601,Meat preparations,16
1602,Meat preparations,16
1604,Fish preparations,16
1605,Crustacean preparations,16
1701,Sugars,17
1702,Sugars,17
1703,Sugars,17
1704,Sugar confectionery,17
1801,Cocoa beans,18
1803,Cocoa,18
1804,Cocoa,18
1805,Cocoa,18
1806,Cocoa,18
1901,Food preparations,19
1902,Food preparations,19
1904,Food preparations,19
1905,Food preparations,19
2001,Vegetable preparations,20
2002,Vegetable preparations,20
2003,Vegetable preparations,20
2004,Vegetable preparations,20
2005,Vegetable preparations,20
2007,"Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes",20
2008,Nuts,20
2009,Juice,20
2101,"Extracts, essences and concentrates",21
2102,Yeasts,21
2103,Sauces,21
2104,Soups and broths and preparations therefor,21
2105,Ice cream and other edible ice,21
2106,Protein,21
2201,Waters,22
2202,Waters,22
2203,Beer,22
2204,Wine,22
2206,"Beverages, fermented",22
2207,Undenatured ethyl alcohol,22
2208,Spirits obtained by distilling grape wine or grape marc,22
2301,"Flours, meals and pellets",23
2302,"Bran, sharps and other residues",23
2303,Residues of starch manufacture and similar residues,23
2304,Oil-cake and other solid residues,23
2306,Oil-cake and other solid residues,23
2308,"Vegetable materials and vegetable waste, vegetable residues and by-products",23
2309,Dog or cat food,23
2401,"Tobacco, (not stemmed or stripped)",24
2402,"Cigars, cheroots and cigarillos",24
2403,Tobacco,24
2404,"Products containing tobacco or reconstituted tobacco, intended for inhalation without combustion",24
2501,Salt (including table salt and denatured salt),25
2503,Sulphur of all kinds,25
2505,Sands,25
2506,Quartz,25
2507,Kaolin and other kaolinic clays,25
2508,Clays (excluding expanded clays of heading no. 6806),25
2510,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk",25
2515,Marble and travertine,25
2516,Granite,25
2517,"Pebbles, gravel, broken or crushed stone",25
2519,Magnesium carbonate (magnesite),25
2520,Gypsum,25
2521,Limestone flux,25
2522,Quicklime,25
2523,Cement clinkers (whether or not coloured),25
2526,Steatite,25
2529,Feldspar,25
2530,"Vermiculite, perlite and chlorites",25
2601,Iron ores and concentrates,26
2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",26
2603,Copper ores and concentrates,26
2604,Nickel ores and concentrates,26
2606,Aluminium ores and concentrates,26
2607,Lead ores and concentrates,26
2608,Zinc ores and concentrates,26
2609,Tin ores and concentrates,26
2610,Chromium ores and concentrates,26
2613,Molybdenum ores and concentrates,26
2614,Titanium ores and concentrates,26
2615,Zirconium ores and concentrates,26
2616,Silver ores and concentrates,26
2618,"Slag, granulated (slag sand)",26
2620,"Slag, ash and residues",26
2701,Coal,27
2702,Lignite,27
2703,Peat,27
2704,Coke and semi-coke,27
2707,Oils and products of the distillation of high temperature coal tar,27
2708,Pitch,27
2709,Oils,27
2710,"Petroleum oils and oils from bituminous minerals, not crude",27
2711,Petroleum gases and other gaseous hydrocarbons,27
2712,Petroleum jelly,27
2713,Petroleum coke,27
2715,"Bituminous mixtures based on natural asphalt, on natural bitumen, on petroleum bitumen, on mineral tar or on mineral tar pitch (e.g. bituminous mastics, cut-backs)",27
2716,Electrical energy,27
2801,Chlorine,28
2803,Carbon,28
2804,Hydrogen,28
2805,Alkali or alkali-earth metals,28
2807,Sulphuric acid,28
2809,Diphosphorus pentoxide,28
2811,Hydrogen fluoride (hydrofluoric acid),28
2814,Ammonia,28
2815,Sodium hydroxide (caustic soda),28
2817,Zinc,28
2818,Aluminium oxide,28
2825,Hydrazine and hydroxylamine and their inorganic salts,28
2826,Fluorides,28
2827,Chlorides,28
2833,Sodium sulphates,28
2834,Nitrites,28
2835,"Phosphinates (hypophosphites) and phosphonates (phosphites), whether or not chemically defined",28
